model_name,original_dataset,dataset,required_image_size,remark,split,batch_size,epochs,GPUTYPE,random_seed,learning_rate,DEVICE,testSet_after_transfer_learning,validationSet_after_transfer_learning,trainingSet_after_transfer_learning,testSet_after_fine_tune,rank,validationSet_after_fine_tune,trainingSet_after_fine_tune,model_size,test_time(s),tl_fit_time(min),ft_fit_time(min)
imagenet_resnet_v2_50,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,1,2022,0.01,GeForce RTX 3090:3,0.657500029,0.656799972,0.973174989,0.733200014,36,0.735099971,0.998125017,185.6,55.03,33,75
imagenet_mobilenet_v3_small_100_224,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:1,0.663399994,0.670099974,0.952250004,0.731700003,37,0.730599999,0.953050017,16.2,42.177,24,59
imagenet_mobilenet_v1_075_160,ILSVRC-2012-CLS,cifar100,160,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:0,0.611500025,0.609000027,0.866975009,0.73119998,38,0.736000001,0.994075,17.3,23.94,13,43
tf2-preview_mobilenet_v2,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:7,0.589900017,0.595099986,0.899600029,0.730000019,39,0.730700016,0.994125009,22,41.513,21,99
imagenet_resnet_v2_101,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:2,0.684000015,0.684700012,0.981525004,0.727500021,40,0.729200006,0.994875014,334,110.532,62,166
imagenet_mobilenet_v1_050_224,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:5,0.592000008,0.584800005,0.779624999,0.726400018,41,0.73089999,0.99437499,9.5,28.237,16,56
regnety600mf,imagenet1k,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:3,0.662899971,0.669399977,0.800724983,0.711399972,42,0.717700005,0.994199991,53.8,55.062,38,106
imagenet_resnet_v1_101,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,1,2022,0.01,GeForce RTX 3090:4,0.698599994,0.692200005,0.9824,0.704299986,43,0.69690001,0.96647501,333.7,67.281,46,121
imagenet_mobilenet_v2_130_224,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:3,0.6426,0.653599977,0.967199981,0.702300012,44,0.707799971,0.962925017,34,46.786,25,97
bit_m-r152x4,ImageNet-21k,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,3,2022,0.01,NVIDIA A100-SXM4-80GB:2,0.853200018,0.851000011,0.991550028,0.699000001,45,0.699400008,0.999875009,7124.8,669.3,424,1090
imagenet_mobilenet_v1_100_160,ILSVRC-2012-CLS,cifar100,160,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:5,0.640999973,0.636200011,0.932799995,0.695599973,46,0.691999972,0.957274973,28.2,26.069,13,48
imagenet_mobilenet_v2_100_224,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:6,0.589900017,0.594500005,0.899600029,0.684800029,47,0.672100008,0.947175026,22.2,37.261,22,88
imagenet_mobilenet_v2_035_192,ILSVRC-2012-CLS,cifar100,192,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:3,0.565599978,0.570200026,0.839150012,0.680000007,48,0.672100008,0.980425,8.2,36.972,19,61
imagenet_mobilenet_v2_035_160,ILSVRC-2012-CLS,cifar100,160,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:1,0.581099987,0.580299973,0.86954999,0.675999999,49,0.667100012,0.975925028,8.2,33.014,20,52
imagenet_mobilenet_v2_035_128,ILSVRC-2012-CLS,cifar100,128,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:4,0.551299989,0.556599975,0.826674998,0.661499977,50,0.657199979,0.969375014,8.2,31.115,16,47
imagenet_mobilenet_v2_100_192,ILSVRC-2012-CLS,cifar100,192,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:1,0.599399984,0.599399984,0.913749993,0.66140002,51,0.659699976,0.989400029,22.2,37.316,20,75
regnety400mf,imagenet1k,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:2,0.659099996,0.658299983,0.788775027,0.660099983,52,0.656000018,0.991150022,37.4,51.33,37,91
imagenet_mobilenet_v1_050_128,ILSVRC-2012-CLS,cifar100,128,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:1,0.583599985,0.578400016,0.786225021,0.660000026,53,0.666400015,0.943175018,9.5,22.023,13,31
resnet_50,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,1,2022,0.01,GeForce RTX 3090:0,0.704900026,0.713400006,0.956375003,0.659399986,54,0.662,0.948324978,189,61.719,35,77
regnety200mf,imagenet1k,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:1,0.637499988,0.637399971,0.757200003,0.655300021,55,0.656799972,0.98755002,31.6,48.346,37,90
imagenet_mobilenet_v2_075_128,ILSVRC-2012-CLS,cifar100,128,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:5,0.594099998,0.594799995,0.894025028,0.623600006,56,0.622799993,0.913999975,15.6,34.388,19,51
imagenet_mobilenet_v2_035_96,ILSVRC-2012-CLS,cifar100,96,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:4,0.560000002,0.554700017,0.892925024,0.617500007,57,0.615800023,0.949249983,8.2,31.195,18,45
imagenet_mobilenet_v1_025_224,ILSRCV-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:7,0.542800009,0.541400015,0.657074988,0.61589998,58,0.619099975,0.865549982,4.7,30.696,16,57
imagenet_mobilenet_v1_025_192,ILSVRC-2012-CLS,cifar100,192,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:2,0.533900023,0.534300029,0.636799991,0.609799981,59,0.601800025,0.839699984,4.7,26.388,15,43
imagenet_mobilenet_v2_075_96,ILSVRC-2012-CLS,cifar100,96,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:4,0.584599972,0.585099995,0.901575029,0.603600025,60,0.604399979,0.899450004,15.6,33.826,19,48
bit_m-r101x1_1,ImageNet-21k,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,1,2022,0.01,GeForce RTX 3090:6,0.807500005,0.808200002,0.976100028,0.583400011,61,0.574500024,0.999875009,350,169.271,106,233
imagenet_mobilenet_v1_025_128,ILSVRC-2012-CLS,cifar100,128,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:0,0.51700002,0.518899977,0.633549988,0.566100001,62,0.57130003,0.813399971,4.7,25.732,12,30
bit_m-r50x1_1,ImageNet-21k,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,1,2022,0.01,NVIDIA A100-SXM4-80GB:0,0.762199998,0.76639998,0.952324986,0.54460001,63,0.53640002,0.999825001,193.6,124.79,100,313
bit_m-r101x1_1,ImageNet-21k,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,3,2022,0.01,NVIDIA A100-SXM4-80GB:3,0.800599992,0.798099995,0.967299998,0.534500003,64,0.513700008,0.999050021,350,109.987,64,159
deit_tiny_patch16_224_fe_1,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,Tesla V100-SXM2-32GB:2,0.62470001,0.628899992,0.715650022,0.453399986,65,0.440200001,0.908450007,51.7,92.59,44,70
